"Index" "1013499" "1013534" "1013537" "1013539" "1013541" "1013544" "1013547" "1013552" "1013557" "1013558" "1013568" "1013569" "1013570" "1013571" "1013948" "1014544" "1014587" "1014589" "1014590" "1014592" "1014597" "1014599" "1014601" "1014815" "1015294" "1015296" "1015302" "1015303" "1016762" "1016764" "1016765" "1016769" "1016770" "1016771" "1017293" "1017301" "1017322" "1019647" "2001887" "4005460"
2009-01-02 905771 676905 2889620 4915721 758790 863801 547489 403277 765299 477537 2765141 10115498 2088648 5311441 656883 3572397 812907 5130858 1083354 1201664 578757 290973 516653 114717 640763 1054395 1457775 4883545 652904 2171373 861742 186199 1189681 371664 2667239 748453 196789 1702735 211689 2966126
2009-01-05 809677 975148 2246267 7682205 1032633 1557324 937505 721636 1178325 657109 4681832 21962271 2719186 11636758 827862 4796873 889881 7436932 2326039 1449886 947957 1050932 998079 299245 968025 2171769 1838284 4973988 1217222 3837122 1199558 422088 1827496 596561 4855821 1280582 294837 2628493 278320 4527082
2009-01-06 469441 588272 1990670 6895659 1065642 1976613 911214 1060635 1215438 844412 3880660 18535428 2826029 10050985 1126753 5673781 1485595 6979162 1637302 2095490 1096959 1478484 1572577 560767 1086951 2848360 2179109 7598070 2372154 3431245 1055701 436882 1438779 1304146 5396363 971010 373049 2797192 423520 9201507
2009-01-07 864033 929476 2280362 8883686 980972 2793570 1490930 1076087 1117848 1195176 6238098 26871003 3459699 8662006 1472135 4680377 2280214 6350377 1958375 1914939 844735 1159152 907670 506443 1225945 1845609 2010371 7347091 1422204 3772430 1043717 453542 2087477 1071669 5306990 990353 620154 2319050 319181 8589398
2009-01-08 953965 863639 3314871 5684233 717532 2446432 841539 1153488 1067996 849281 5697978 24414783 3182771 8266502 1548327 2614716 1058012 7465906 1316105 1516154 601764 663880 879095 726739 1582137 1945085 1542986 3847637 1132951 2811676 1348096 445977 2070269 1530493 3435195 1255206 927878 2219720 232104 4969117
2009-01-09 851504 1266070 1743845 5615271 879011 1713424 1271994 992381 1075371 608466 5733961 16142815 3308205 7457294 1809926 5336861 1285213 7149276 1663563 1539250 690255 640181 681536 411600 1296006 1818114 2172694 5087219 1348029 2677417 1601299 280809 1429785 1113379 3360622 1297347 289715 2047703 184986 4875835
2009-01-12 1011825 685311 2388307 4711310 761573 1276918 651180 918752 686858 657659 5939420 14608444 3004265 11398165 1796010 3286347 1765099 5689756 1435478 1543466 1406046 739637 869640 411123 1216531 1517431 1873791 3037956 802400 1848375 969116 382661 1238334 515970 3093648 652661 271768 2539773 403537 3659726
2009-01-13 1167144 1187543 2559845 7520241 2046835 1908592 1776147 1266802 969593 599944 5337946 21796261 3395848 12112318 3474763 4312270 1902222 8637793 2198157 2387509 1302996 668326 691069 533929 1493768 1884785 2410060 5749022 1845582 3175188 1410823 388259 2662454 758956 4626204 2027758 496121 2666557 384872 6376976
2009-01-14 1144577 1454387 3463149 8892965 1757096 1859097 1279894 1660362 1031403 1205489 6989956 21859011 3144340 11249000 2797662 7238496 1918503 13362656 2090021 2527738 731826 888943 707824 423609 2111870 2281862 6810794 8161422 2387121 6782492 3806998 550300 3826754 1377318 5095889 1485763 540908 2605537 382020 9945062
2009-01-15 731958 1612227 4350349 8703977 1544029 3958732 1136155 1503081 874802 1066237 8680368 24475854 3363751 12512333 2332819 7583764 1874601 15217781 2313628 3042839 1031193 807835 798967 407341 1836116 1871084 3970588 8065286 1810804 4773981 3430982 396106 2854082 1011708 4600960 1504450 850777 2443181 262490 12611390
2009-01-16 982796 1231732 4147001 12513049 4153322 3105372 1016468 1053315 1000225 656801 6276119 16255261 3772995 10181515 2791877 11150881 1309709 14076969 2499750 3073789 1142212 830044 685009 286678 2397426 3351998 4833448 8870592 1707004 4210420 2853262 473040 2516912 1140694 6125090 1659553 507665 2294008 266669 11280899
2009-01-19 773288 961374 2275292 6000120 1650157 1639635 860310 1047424 1192536 540267 4452158 12878863 2451384 6799524 2006262 8103491 870374 10938184 1300597 1664259 643000 1025825 430138 541124 1438821 5360233 4496662 9755527 864869 3166253 1992134 303538 1929331 639057 3592614 1192059 390606 1574373 211621 6083260
2009-01-20 677690 825778 3443491 7552971 1491672 2010802 752169 1087597 956781 1636501 5267907 14765166 3867852 8897647 4496219 7013678 1605843 9963113 1657869 2114693 675925 993784 793883 422266 1379022 5915316 5992642 13238719 1909489 4011020 2332326 474282 2259975 781949 3804192 1139308 573396 2639212 209146 7890890
2009-01-21 935040 1753770 3729474 11310933 1838094 2395042 1117949 2155584 1185462 1166220 9383341 34538371 4858866 12020357 4000297 12956680 2651865 18956906 2590766 3273877 1238449 1139714 1150400 816099 3072583 5108539 8770936 17793383 2382980 6051938 2081149 1186649 3523084 1245337 7525381 2121538 580373 2667153 483323 12458788
2009-01-22 660012 944698 4121676 9749507 1742963 1841675 1351188 1467867 1267111 727549 4703106 19762375 5135407 9180083 1783975 7538906 1448108 11752655 2176122 2631624 1137474 1485880 815015 580913 2086419 3495971 5498765 11717496 1740009 4176369 1765720 584665 2887916 1035328 3429137 1706229 651534 1873830 267660 10185483
2009-01-23 416519 1423809 3499611 10482458 1936788 1378990 1026966 2296125 1078723 1003984 6166292 20780772 3430327 11372577 2295105 6413771 1596636 16876266 1923426 3400721 664001 838991 585049 627289 2806056 2424846 4026253 13262526 3573239 4598213 1901138 461623 3145556 1493537 4656791 1591059 581205 1928555 278114 11851483
2009-01-26 670839 1156871 2767832 10992004 1404323 1720026 739186 2155852 778153 748560 6268097 20028337 2171196 11877177 2886935 10395009 1725108 12227047 1687940 3232774 816919 1231226 820426 241494 2586116 1861636 4821944 16291120 2055834 4796671 2173224 483122 3577941 1171136 4053346 1373218 429356 1914486 266810 12953753
